round_epochs,loss,accuracy,val_loss,val_accuracy,dense,dropout,lstm
5,0.10585136711597443,0.9646251201629639,0.34898680448532104,0.8922077417373657,10,0.25,10
5,0.08718007057905197,0.9736154079437256,0.39213666319847107,0.8924927115440369,10,0.25,50
5,0.06877873092889786,0.9782571792602539,0.40147843956947327,0.8934047818183899,10,0.25,100
5,0.19106440246105194,0.9304717183113098,0.30328306555747986,0.8861083984375,10,0.5,10
5,0.13533169031143188,0.9528009295463562,0.3859403729438782,0.8824032545089722,10,0.5,50
5,0.12390626221895218,0.9570761919021606,0.3365558683872223,0.890497624874115,10,0.5,100
5,0.337728351354599,0.8693718910217285,0.29258233308792114,0.880864143371582,10,0.75,10
5,0.26665887236595154,0.8914323449134827,0.29540109634399414,0.8817192316055298,10,0.75,50
5,0.27467966079711914,0.8559353351593018,0.31457313895225525,0.8876475095748901,10,0.75,100
5,0.09642034024000168,0.9665062427520752,0.330393522977829,0.893119752407074,50,0.25,10
5,0.06204574555158615,0.9783304333686829,0.452788382768631,0.89488685131073,50,0.25,50
5,0.05622248351573944,0.9799184203147888,0.4641806185245514,0.891409695148468,50,0.25,100
5,0.1416599005460739,0.9499181509017944,0.3094901442527771,0.8863934278488159,50,0.5,10
5,0.08751992881298065,0.9703173637390137,0.39323654770851135,0.8865074515342712,50,0.5,50
5,0.07425758242607117,0.9736887216567993,0.3958241641521454,0.8919227123260498,50,0.5,100
5,0.29292887449264526,0.8728898167610168,0.28532540798187256,0.8833723068237305,50,0.75,10
5,0.1619766503572464,0.9448122382164001,0.38025349378585815,0.8826882243156433,50,0.75,50
5,0.1359722912311554,0.9515549540519714,0.3419801890850067,0.8864504098892212,50,0.75,100
5,0.08810693770647049,0.9684606790542603,0.34993863105773926,0.8842843174934387,100,0.25,10
5,0.0550929419696331,0.9808223247528076,0.47411617636680603,0.8937467932701111,100,0.25,50
5,0.05216927081346512,0.9815552234649658,0.4369697868824005,0.8917517066001892,100,0.25,100
5,0.14336028695106506,0.947279691696167,0.31618377566337585,0.8766459822654724,100,0.5,10
5,0.0840979516506195,0.9699020385742188,0.41084736585617065,0.8862794041633606,100,0.5,50
5,0.07100024074316025,0.9748613834381104,0.3824068009853363,0.8928917646408081,100,0.5,100
5,0.2798948585987091,0.8766032457351685,0.2945069670677185,0.8789830803871155,100,0.75,10
5,0.1343419849872589,0.9539491534233093,0.3071328103542328,0.8839992880821228,100,0.75,50
5,0.1239166185259819,0.9561478495597839,0.3656567335128784,0.8895285725593567,100,0.75,100
